period,confidence,unit,source,value,entity_type,entity_subtype,prev_value,growth_rate,annualized_growth
2023,0.494,Unknown,goog-10-k-2024.pdf,1.0,profit,operating income,,,
2024,0.1,Unknown,goog-10-k-2024.pdf,2.0,profit,operating income,1.0,1.0,1.0
