period,confidence,unit,source,value,entity_type,entity_subtype,prev_value,growth_rate,annualized_growth
2023,1.234,Unknown,goog-10-k-2024.pdf,62538100.73419773,revenue,sales,,,
2024,1.504,Unknown,goog-10-k-2024.pdf,8.0,revenue,sales,62538100.73419773,-0.9999998720779828,-0.9999998720779828
