period,confidence,unit,source,value,entity_type,entity_subtype
2023,3.2660000000000005,Unknown,goog-10-k-2024.pdf,16.746478873239436,growth,growth
2024,7.82,Unknown,goog-10-k-2024.pdf,4.0,growth,growth
